cluster	p-value	GO-term
1	51.026597098405276	GO:0070936
2	9.081650573820983	GO:0034770
3	21.349039047840744	GO:0045070
4	9.081650573820983	GO:0061739
5	13.412823828561125	GO:2000352
6	9.081650573820983	GO:0086048
7	27.24934920454698	GO:1904825
8	13.46376167752425	GO:0045892
9	8.8993365996285	GO:0090128
10	7.983129276419334	GO:0010831
11	5.799403946945673	GO:0042632
12	38.8158146783512	GO:0006208
13	19.07954385700519	GO:2000582
14	8.570855280233022	GO:0061086
15	14.495036406016327	GO:1903071
16	15.336849945649789	GO:0034472
17	7.541379931386005	GO:0032099
18	35.462450425453234	GO:0015671
19	28.62482555815203	GO:0006357
20	8.493894239596361	GO:0009056
21	20.279347206528854	GO:0060333
22	9.081650573820983	GO:0061097
23	9.683571133738017	GO:0006511
24	9.081650573820983	GO:0072331
25	8.23441337403398	GO:0042985
26	50.5497811453952	GO:0070268
27	8.570855280233022	GO:0044381
28	8.38854888859886	GO:0048341
29	8.793983666573212	GO:0070525
30	8.100897146767188	GO:0006116
31	7.838563213392398	GO:1902993
32	28.62482555815203	GO:0006357
33	8.493894239596361	GO:0031283
34	8.388548888648739	GO:0001765
35	11.460851212959243	GO:0007417
36	27.24934920454698	GO:0051343
37	10.659112336795566	GO:0048208
38	8.570855280233022	GO:1901621
39	6.289140162902862	GO:0050890
40	8.745193502476479	GO:0150020
41	13.767025399725567	GO:0019367
42	14.16772646418528	GO:0006397
43	62.861672876477776	GO:0031424
44	7.983114112432269	GO:0051306
45	89.8879535436216	GO:0070268
46	8.206242497487239	GO:0021782
47	10.899105887037056	GO:0006366
48	7.983129276419334	GO:2000562
49	40.22702966301377	GO:0031424
50	8.38854888859886	GO:0046541
51	7.78248891140188	GO:0072425
52	12.990482751078758	GO:0043484
53	19.48500391016219	GO:0032387
54	52.628188054417286	GO:0031424
