cluster	p-value	GO-term
1	8.38854888859886	GO:0060050
2	8.8993365996285	GO:0035112
3	10.866874615581832	GO:0006357
4	146.87745509792637	GO:0031424
5	12.73813493717967	GO:2000352
6	8.611669692617019	GO:0150020
7	8.100897146624764	GO:0010510
8	9.081650573820983	GO:0086048
9	9.081650573820983	GO:0045226
10	11.999493565507207	GO:0006334
11	7.600205266651753	GO:0072425
12	16.777059867939037	GO:0097120
13	8.745193502476479	GO:0090128
14	39.68967350831265	GO:0006357
15	7.983129276419334	GO:0010831
16	38.8158146783512	GO:0006208
17	8.388548888648739	GO:2001236
18	9.081650573820983	GO:0043367
19	10.535296917248735	GO:0006310
20	8.793983666573212	GO:0042780
21	19.07954385700519	GO:2000582
22	15.75380019967603	GO:0000398
23	26.459858489246567	GO:0055085
24	16.445507795544	GO:0000398
25	8.8993365996285	GO:2000269
26	16.786509148725084	GO:0043488
27	109.08068900822819	GO:0070268
28	20.279347206528854	GO:0060333
29	8.611669692617019	GO:0019284
30	8.23441337403398	GO:0042985
31	8.61167348358421	GO:1901315
32	9.081650573820983	GO:0072331
33	8.611669692617019	GO:0045761
34	9.081650573820983	GO:1903037
35	14.058445138889688	GO:1903071
36	26.30013067668802	GO:0016236
37	8.8993365996285	GO:1901987
38	15.699424376742178	GO:0008380
39	9.081650573820983	GO:2000124
40	25.596011673461035	GO:0070268
41	17.861516907728117	GO:0006367
42	8.38854888859886	GO:0048341
43	8.100897146767188	GO:0006116
44	11.056063551794779	GO:0007417
45	45.4563581043452	GO:0031424
46	9.081650573820983	GO:0019276
47	9.171029034459973	GO:0051301
48	8.611669692617019	GO:0061642
49	9.348453682642226	GO:0006511
50	69.80871917262337	GO:0070268
51	16.846052738867566	GO:0060761
52	63.7820789623114	GO:0015671
53	11.026799062870204	GO:0007010
54	26.84389547091092	GO:1904825
55	8.206246288287964	GO:0001765
56	26.84389547091092	GO:0051343
57	14.243767482494611	GO:0005977
58	9.71094221751004	GO:0015031
59	15.936017733337426	GO:0006357
60	18.791871895002483	GO:0090168
61	22.234778610237022	GO:0006906
62	14.93147583097385	GO:0034472
63	31.255173044939056	GO:0031424
64	7.800838049622776	GO:2000562
65	11.70649216862821	GO:0043406
66	27.719341459511497	GO:1903361
67	9.917426549080107	GO:0055085
68	15.23678165333174	GO:0051568
69	8.745193502476479	GO:0031644
70	20.943721809604924	GO:0045070
71	17.70194306081743	GO:0045892
72	9.081650573820983	GO:1903765
73	14.84741799753918	GO:0006357
74	8.570855280233022	GO:0070309
75	11.684324897702009	GO:0006357
76	10.899105887037056	GO:0006366
77	13.029371659045472	GO:0035024
78	22.864241574002314	GO:0097192
79	9.081650573820983	GO:0051438
80	11.34246926702114	GO:0045944
81	12.990482751078758	GO:0043484
82	26.306762171945593	GO:0006357
83	13.586185120974296	GO:0006397
84	16.22705902818563	GO:0010738
85	9.789980163178223	GO:0000398
86	14.01012852148479	GO:0006357
87	15.936017733337426	GO:0006357
88	8.686236421957007	GO:0015031
89	8.493894239596361	GO:0009056
90	9.081650573820983	GO:0090234
91	7.80083804962132	GO:0036462
92	24.37157509275268	GO:0006357
93	19.07954385700519	GO:0019343
94	48.811686996829785	GO:0070936
95	19.48500391016219	GO:0032387
96	17.660954471649386	GO:0038095
97	8.570855280233022	GO:0046541
98	14.486800138383966	GO:0015840
99	11.478697529807429	GO:0055085
