protein name	cluster
P3H3	13
SEMA4C	13
OIT3	13
CHRNG	13
NECTIN3	13
LCE2D	13
SMCP	13
EVX2	13
PRKAG1	13
ALDH3B1	13
SLC6A20	13
P2RX4	13
P2RY6	13
SLC5A5	13
TACSTD2	13
HEY2	13
PLSCR2	13
KRTAP19-7	13
KRT83	13
WDR83	13
KRTAP4-11	13
PRR22	13
ECE1	13
KRTAP3-3	13
ZBTB32	13
ZNF672	13
SPRY4	13
C9orf24	13
ESM1	13
ZFHX2	13
ETNK2	13
CTSZ	13
KRTAP5-3	13
SLC13A5	13
DHRS1	13
AL807752.7	13
SPRY1	13
PAX3	13
GATA1	13
CRYBA2	13
SEMA3B	13
SLC25A48	13
RNF208	13
LCE2B	13
BEGAIN	13
KRTAP6-3	13
KRTAP4-2	13
RALGDS	13
KRTAP9-3	13
DHX57	13
NEU4	13
KRTAP7-1	13
PRF1	13
UPK1B	14
TSPAN33	14
TMUB2	14
GPR161	14
SDHAF4	14
HIP1R	15
ABLIM3	15
WAC	15
TFIP11	15
KIAA0753	15
TMPRSS4	16
SEC22A	16
CD207	16
PGA4	16
GRAMD2B	16
FRMD8	16
EDDM3B	16
FUT3	16
PACC1	16
SLA	17
C4orf17	17
COG3	17
ABI2	17
SNAP91	17
RASAL3	17
INSYN1	17
TPM2	17
ZNF785	17
VARS2	17
SH3BP1	17
FBXL19	17
WASF3	17
RYBP	18
TSPYL2	18
NOP53	18
XAGE1B	18
XAGE1A	18
CTRL	19
NRG4	19
VSIG4	19
FATE1	19
OTOP2	19
CALN1	19
PRRG2	19
MPP3	20
MPP7	20
SNTG2	20
NUMB	20
FTCD	20
PALS1	20
C18orf54	21
SPDEF	21
GPX7	21
SNX20	21
REX1BD	21
TCF25	21
CLUAP1	21
TMEM123	21
MAGEA11	21
PHC1	22
PCGF2	22
BMI1	22
RING1	22
PCGF3	22
RNF2	22
ORMDL1	23
CCL4	23
TAS2R5	23
LTA	23
SLC30A2	23
GLB1	23
FDPS	23
NDUFAF1	23
SMYD1	24
FAM166A	24
UTP14A	24
FAM204A	24
ZBTB3	24
RTN3	25
VPS4B	25
MITD1	25
CHMP1B	25
VTA1	25
TTC33	25
ZFYVE19	25
DPYSL2	26
DPYSL5	26
DPYSL3	26
CRMP1	26
CFAP161	26
TCF23	27
NHLH2	27
TCF4	27
ASCL4	27
ID2	27
MYF5	27
ASAP3	27
BCL11A	27
NEUROG3	27
NFAM1	27
SCX	27
TTF2	27
THSD7A	28
LHFPL1	28
IGFBP5	28
PROKR2	28
CLDN6	28
C1QL4	28
EBF1	29
KDF1	29
KLHL11	29
ISX	29
SOX10	29
POU6F2	29
SSUH2	29
PPIP5K2	29
MLLT10	29
VAX2	29
HNF1B	29
DYNC1I2	30
DYNLT1	30
DYNLT3	30
OLFM3	30
