cluster	p-value	GO-term
1	13.326742670183798	GO:0043484
2	9.65652991389366	GO:0043065
3	24.38841322698059	GO:0045892
4	12.749198902778321	GO:0006357
5	13.062013757102266	GO:0031290
6	26.84389547092655	GO:0033523
7	17.504230712162965	GO:0006357
8	17.510978491003193	GO:0090168
9	8.29323870980263	GO:0090128
10	17.468234761525302	GO:0000122
11	14.70042982641643	GO:0043162
12	25.61876595699651	GO:0006995
13	305.1197092319658	GO:0031424
14	8.793983666573212	GO:0034553
15	9.081650573820983	GO:0060453
16	8.493894239596361	GO:0045967
17	14.723259666050799	GO:2000601
18	14.377480090698977	GO:0032435
19	8.745193502476479	GO:0045957
20	8.8993365996285	GO:0006760
21	8.493894239596361	GO:0010454
22	39.10579907894001	GO:0070317
23	9.39968937741052	GO:0007267
24	7.983129276419334	GO:0010831
25	25.234548553069466	GO:1904903
26	38.8158146783512	GO:0006208
27	28.920361100991506	GO:0006357
28	8.206246288287964	GO:0043569
29	20.224789081904866	GO:0006357
30	8.83631094006135	GO:0051301
31	22.628976142542395	GO:0006357
32	16.687249933050996	GO:0006334
33	8.921962997650809	GO:0007275
34	9.081650573820983	GO:0010817
35	16.37163520104614	GO:0000338
36	9.29240540886518	GO:0007283
37	14.495036406093933	GO:0051568
38	9.730953045022341	GO:0007010
39	21.908107528187216	GO:0006357
40	9.066836940327633	GO:0009952
41	13.129394457092701	GO:0034472
42	58.784487265974896	GO:0055085
43	16.394097947319455	GO:0000185
44	9.081650573820983	GO:1901485
45	20.279347206528854	GO:0060333
46	13.700359302629712	GO:0043542
47	8.611669692617019	GO:0035793
48	17.13371459025575	GO:1901385
49	10.371931309581516	GO:0045216
50	9.081650573820983	GO:0032506
51	71.89859967144767	GO:0015671
52	11.895174172536874	GO:0006888
53	13.326742670183798	GO:0019827
54	9.71094221751004	GO:0015031
55	34.108676564691514	GO:0006607
56	11.016482508407673	GO:0007165
57	17.78028614904225	GO:0019343
58	8.745193502476479	GO:0035437
59	26.30013067668802	GO:0016236
60	15.929837836595432	GO:0070885
61	22.234778610237022	GO:0016573
62	8.70436697876481	GO:0006886
63	8.8993365996285	GO:0007060
64	18.204090285389817	GO:0032387
65	78.54979469555558	GO:0006357
66	8.611669692617019	GO:0086048
67	9.454791940106889	GO:0000398
68	7.983129276419334	GO:0032060
69	9.081650573820983	GO:0016556
70	10.20393982109461	GO:0043161
71	9.62177113253619	GO:0006366
72	22.941176952405677	GO:0035024
73	13.874888182591334	GO:0043966
74	8.224888579186139	GO:0000209
75	8.457534177806195	GO:0042461
76	10.083922661759695	GO:0010468
77	12.999716670646798	GO:0043491
78	16.39383837125275	GO:0030512
79	8.745193502476479	GO:1902445
80	25.8811188469113	GO:1904825
81	20.321895442467444	GO:0007623
82	19.48500391016219	GO:0034143
83	25.684835337101898	GO:0030182
84	8.611669692617019	GO:2000269
85	18.219716648216885	GO:0070268
86	16.22705902818563	GO:0001682
87	9.081650573820983	GO:1902990
88	8.12619979066111	GO:0010866
89	47.93655006754329	GO:0070936
90	128.44792499187722	GO:0070268
91	28.70738860675428	GO:0005977
92	15.936017733337426	GO:0006357
93	8.776055319673011	GO:0006897
94	18.707209126382555	GO:0042147
95	9.081650573820983	GO:0045964
96	15.265784352793254	GO:0032012
97	20.58719473500126	GO:0045070
