cluster	p-value	GO-term
1	7.695496490374089	GO:0061817
2	54.135865049409865	GO:0006357
3	16.9675438647919	GO:0061640
4	25.47568786134171	GO:0006015
5	18.386416896979846	GO:0046314
6	41.24840054940452	GO:0038096
7	22.1439383308671	GO:0098962
8	422.5840665861092	GO:0006357
9	7.918602128991492	GO:0086073
10	9.123561694601923	GO:0006897
11	55.41870452262001	GO:0016236
12	23.4543283287787	GO:0006888
13	26.70285582855579	GO:0035307
14	13.003842597262986	GO:0000122
15	8.052114564984853	GO:0043569
16	16.141429647390773	GO:0006367
17	9.407600450406784	GO:0043547
18	20.01770634335954	GO:0061952
19	11.641270552120908	GO:0006915
20	19.73049787615857	GO:0045944
21	25.8811188469113	GO:1904825
22	40.806134780189375	GO:0006367
23	62.30752476181013	GO:0000209
24	10.377526632467976	GO:0150104
25	8.745193502476479	GO:0007632
26	19.07954385700519	GO:2000582
27	103.54314122196203	GO:0006357
28	22.269813930956694	GO:0006357
29	24.916117570823292	GO:0007183
30	21.75163061707514	GO:0048025
31	48.05993245770477	GO:0016579
32	18.194442368256052	GO:0007007
33	71.89859967144767	GO:0015671
34	17.762282808830655	GO:0090168
35	8.388541306681503	GO:0031339
36	13.644433110734704	GO:0007165
37	10.917150068034974	GO:0000413
38	15.48523289733303	GO:0001682
39	8.201865482879349	GO:0050790
40	20.58719473500126	GO:0045070
41	95.65184687327162	GO:0055085
42	20.491325848806767	GO:0035329
43	90.8967645175558	GO:0000122
44	265.58125075807465	GO:0006357
45	13.463581660748453	GO:0003382
46	14.382081450863206	GO:0008286
47	36.17681194529994	GO:0006208
48	19.719138271164642	GO:0097320
49	16.797267629595485	GO:1901385
50	89.26231393239759	GO:0070268
51	14.317855232507172	GO:0032411
52	12.73813493717967	GO:0043542
53	28.255549081697033	GO:0005977
54	25.686524399815088	GO:0007269
55	14.01012852148479	GO:0006357
56	24.081914545426162	GO:0032402
