cluster	p-value	GO-term
185	12.577386692484593	GO:0030307
186	20.453287865422748	GO:0042531
187	9.081650573820983	GO:2000321
188	20.943721809604924	GO:0045070
189	15.192534375479614	GO:0031122
190	12.159948920610733	GO:0007229
191	7.472394643555333	GO:1900153
192	17.45348157786338	GO:0006405
193	8.457534177806195	GO:0001505
194	28.255549081697033	GO:0005977
195	8.745193502476479	GO:0018958
196	8.611669692617019	GO:2000269
197	19.941552499116167	GO:0035329
198	9.730953045022341	GO:0007010
199	15.936017733337426	GO:0006357
200	18.219716648216885	GO:0070268
201	9.081650573820983	GO:0086048
202	8.570855280233022	GO:0044571
203	9.30711531057446	GO:0015031
204	16.22705902818563	GO:0001682
205	9.081650573820983	GO:1902990
206	9.8472597660338	GO:0032760
207	11.581590777998104	GO:0055085
208	13.885919703195594	GO:0043488
209	12.029272049832905	GO:0045944
