protein name	cluster
RMDN2	43
RWDD2B	43
FAM163A	43
CYB561D1	43
GAD2	43
C3	44
GAGE12F	44
MIDN	44
THG1L	44
RPS21	44
MRI1	44
GAGE12G	44
EXOC3L2	44
ABCG4	44
FAH	44
CHRDL2	44
SCYL1	44
SPEF1	44
PLEKHF2	44
PSMB5	44
RASGEF1B	44
BRD8	45
MCRS1	45
ERF	45
JAKMIP1	45
TADA2B	45
UNC5CL	46
MOAP1	46
ZMYND12	46
THOC1	46
PPP2R3C	46
UPK1B	47
EFNA5	47
TSPAN33	47
GPR161	47
SDHAF4	47
CYTIP	48
CNKSR1	48
CYTH2	48
CYTH1	48
CYTH3	48
IFI35	48
IPCEF1	48
CYTH4	48
CCDC120	48
CKM	49
CKMT1A	49
LCK	49
CKMT1B	49
ASB13	49
ASB9	49
OCM	49
POU1F1	50
EID2B	50
CCDC22	50
ARSA	50
ANXA11	50
PDCD6	51
PRR19	51
AASDHPPT	51
BAG4	51
DCX	51
USP22	51
TINAGL1	51
ZBTB5	51
DYNLL2	52
RASGRP4	52
CCDC28A	52
DYNLL1	52
GNL3L	52
THAP10	52
MRNIP	52
PKIA	52
FAM117B	52
C12orf40	52
GIMAP1	53
ITGAM	53
SERP2	53
GIMAP5	53
DKK4	53
RILPL1	54
PIP4P1	54
EPN2	54
OTUB2	54
WBP1	54
PIMREG	55
ERMAP	55
GRAMD2A	55
KCNN3	55
KCNJ8	55
EMD	55
LEMD1	55
TM4SF4	56
RTP4	56
LY6E	56
SLCO3A1	56
SLC1A5	56
TAS2R10	56
CLDN8	56
AQP12B	56
WFS1	56
CD300E	56
CXCL16	56
TMEM71	56
TRARG1	56
SLC39A1	56
TMEM69	56
APH1B	56
NPFFR2	56
DERL3	56
CXCR1	56
CACNA1S	57
PDS5A	57
PAX8	57
DNMT3A	57
RFX3	57
SAMD4A	57
SPON1	57
CCDC106	57
MEOX2	57
ZNF20	57
TEKT1	57
SLC66A1	57
STRA8	57
ZNF547	57
TSPAN7	57
CDC34	57
LRRC18	57
DUS1L	57
MRPL28	57
C10orf88	57
ACOT12	57
ZNF639	57
DOCK8	57
ZBED8	57
LY6G6D	57
SERTAD2	57
ZNF688	57
EIF5A	57
WFDC5	57
SNRNP35	57
BCL2L2-PABPN1	57
TRIM17	57
MAB21L2	57
TTC23L	57
RIMS3	57
RRP8	57
TEX14	57
GRHL2	57
CLPP	57
SERGEF	57
TBX19	57
VWCE	57
CHAF1A	57
PDP1	57
BUD31	57
DPH3	57
PPARA	57
RCN3	57
ZNF558	57
IFIT2	57
NDUFB2	57
CFAP53	57
ATG12	57
FOXN1	57
MDM4	57
VMP1	57
METTL21A	57
BOD1L2	57
TJAP1	57
INTS10	57
KBTBD7	57
RBAK	57
ZKSCAN3	57
NAGK	57
PAX5	57
TTLL10	57
GLRX3	57
VWA5A	57
POLR3GL	57
ODF2	57
SAE1	57
MEI4	57
EFS	57
CTTNBP2	57
ANKRD55	57
RNF25	57
ANKRD1	57
ELOA2	57
MOBP	57
HMGB3	57
CCND3	57
KLF15	57
ISY1-RAB43	57
ZNF512B	57
DEF8	57
ILF2	57
ITGB3BP	57
HOOK3	57
NFYA	57
MEOX1	57
LRP2BP	57
SPDYE4	57
AKT2	57
EIF6	57
NDUFB7	57
METAP1	57
CPNE2	57
FTL	57
PDE4DIP	57
PRMT3	57
ZFP90	57
SERTAD1	57
ARHGEF15	57
PAX6	57
IQGAP1	57
CCNI	57
CTIF	57
CXCL5	57
CD160	57
PLAAT1	57
PRKG1	57
GJC1	57
OR6B1	57
TTC9C	57
CHD2	57
ISY1	57
ZNF69	57
CFHR5	58
TNMD	58
TMBIM1	58
CLRN2	58
BMP10	58
CLEC1A	58
MSRB3	59
EIF2S1	59
OTOS	59
PRMT7	59
AC018755.2	59
SIGLEC5	59
VAC14	59
KHDC1	59
VHLL	59
LSM6	60
LSM3	60
SNRPD3	60
PATL1	60
CLNS1A	60
SNRPD2	60
LSM2	60
LSM12	60
GSTZ1	61
GRAPL	61
MED30	61
MAP2K1	61
MED28	61
TCP11	61
DOK6	62
DTX2	62
COA6	62
TENT2	62
PRR32	62
TBX6	62
SPRED1	62
SLC22A18AS	62
TTC19	62
FAM90A1	63
TBC1D22B	63
IQUB	63
CCDC198	63
ERCC3	63
PKP2	63
ARHGEF9	63
CENPO	64
CENPP	64
POLR3K	64
UHMK1	64
CCDC85B	64
RGS8	64
FIGLA	65
TCF4	65
ASCL4	65
TCF21	65
BCL11A	65
ASAP3	65
MSC	65
TCF3	65
NFAM1	65
NHLH2	65
TWIST2	65
ID1	65
ID2	65
MYF5	65
TCF12	65
FERD3L	65
SCX	65
TTF2	65
ID3	65
TCF23	65
